,Unnamed: 0,Date,User,Tweet,English
19,19,2022-12-06 21:25:10+00:00,taro_shonai,"日本サービス大賞の地方創生大臣賞を受賞しました。固定概念に囚われない独創性、革新的な発想で、日本の地方都市が抱える共通課題を解決する、分野横断的な取り組みが評価されました。

これを励みに、ますます頑張ります。ありがとうございました😊

https://t.co/i1N4Dm5CDx","Received the Minister of Regional Revitalization Award of the Japan Service Awards. Cross-disciplinary efforts to solve common problems faced by local cities in Japan with originality and innovative ideas that are not bound by stereotypes were highly evaluated.

Encouraged by this, I will do my best. Thank you very much 😊

https://t.co/i1N4Dm5CDx"
20,20,2022-12-06 02:00:59+00:00,kuni_nabe_,"『Ｔ字路にホリエモン😌？』

車内からカラス風に🚙🎤
ホリエモンのポスターは
約10分の1の確率✨
このようにNHK党は、選挙等で、
新しい形を生み出しております！

やる気、元気、村田大地！
宜しくお願い申し上げます✨
#大地に1票 #地方創生 #NHK党
#村田大地 #笠間市議選
#笠間市議会議員選挙 https://t.co/Y92FxGpOTj","""Horiemon at the T-junction😌? 』

Crow-like from inside the car🚙🎤
horiemon posters
Approximately 1 in 10 chance
In this way, the NHK party, in elections, etc.,
We are creating new shapes!

Motivation, energy, Daichi Murata!
Thank you for your support ✨
#One vote for the earth #Regional revitalization #NHK party
#daichi murata #kasama city council election
# Kasama City Council election https://t.co/Y92FxGpOTj"
21,21,2022-12-05 08:42:37+00:00,takano_hayato38,① 地方創生ベンチャーサミットの「さよなら申請主義」を視聴。申請主義の4要素である告知(認知)、手続き、給付、期限のどの分野から解決するかをスタートアップはマーケットの大きさと導入しやすさを考えて一つ一つクリアしていかねばならない。(続く),"① Watch ""Sayonara application principle"" of the Regional Revitalization Venture Summit. Startups must clear each of the four elements of the application principle, namely notification (recognition), procedures, benefits, and deadlines, considering the size of the market and ease of introduction. (Continue)"
22,22,2022-12-05 01:30:22+00:00,Neohoukan,"【Web3×地方創生】奉還町モデル(1)　メタバース商店街のゆるキャラを作ろう

@noel99043662 さんがDAOの活動をわかりやすくまとめて下さいました。

https://t.co/lltzcWIgyP

#web3 #地方創生 #奉還町 #西奉還町","[Web3 x Regional Revitalization] Houkancho Model (1) Let's make a mascot for the Metaverse shopping district

@noel99043662 summarized DAO's activities in an easy-to-understand manner.

https://t.co/lltzcWIgyP

#web3 #regional creation #hokancho #westhokancho"
23,23,2022-12-04 11:39:50+00:00,tomohi73,佐賀県唐津市でも地方創生レストランイベント。来年3月予定。 https://t.co/leGKGz1mOv,"Local revitalization restaurant event in Karatsu City, Saga Prefecture. Scheduled for next March. https://t.co/leGKGz1mOv"
24,24,2022-12-04 11:03:28+00:00,tomohi73,"来年、長野県東御市で一日限りのレストランイベントをやる。

＃地方創生 https://t.co/fxqF2GbZNA","Next year, we will have a one-day restaurant event in Tomi City, Nagano Prefecture.

# Regional revitalization https://t.co/fxqF2GbZNA"
25,25,2022-12-04 09:55:54+00:00,akibatv,"本日も電動トゥクトゥク出動！
#akiba #evtokyo #ふるさと映画祭 #ふるさと市場 #地方創生 https://t.co/sGQN9xXwH1","Electric tuk-tuk dispatch today!
#akiba #evtokyo #hometown film festival #hometown market #regional revitalization https://t.co/sGQN9xXwH1"
26,26,2022-12-03 09:11:15+00:00,akibatv,"電動トゥクトゥク到着！
#akiba #evtokyo #ふるさと映画祭 #ふるさと市場 #地方創生 https://t.co/FWvhxRMHqc","The electric tuk-tuk has arrived!
#akiba #evtokyo #hometown film festival #hometown market #regional revitalization https://t.co/FWvhxRMHqc"
27,27,2022-12-02 03:51:28+00:00,undae14,"本日は地方創生のワードに欠かせない方たちのお話を聞きに霞ヶ関へ。

昨日走ったことによる筋肉痛で階段がなかなかしんどいですね。1日走ってみてわかったことはこのまま走ってても意味ないのでまずはフォームを動画とかで勉強して実践しないと。それが改善できたら1キロ30秒は必ず縮められるはず。","Today, I went to Kasumigaseki to listen to the stories of people who are essential to the word of regional revitalization.

The stairs are pretty tough due to muscle pain from running yesterday. What I learned after running for a day is that there is no point in running as it is, so first I have to study the form from videos and put it into practice. If it can be improved, 1 km 30 seconds should definitely be shortened."
28,28,2022-12-01 23:22:39+00:00,junichisaito,緊急配信:ビジネスに活かす！日本代表がスペイン代表に勝利した理由を分析｜齋藤潤一@地方創生 @junichisaito #note #ワールドカップ https://t.co/4nAQZS1Zws,Urgent delivery: Use it for your business! Analysis of why the Japanese national team won the Spanish national team | Junichi Saito @ Junichisaito #note # World Cup https://t.co/4nAQZS1Zws
29,29,2022-12-01 11:37:16+00:00,akibatv,"【お知らせ】こちらの会場の模様を中継でご覧いただけます！
もちろん会場で直接ご覧いただくのが一番！
入場無料です！ぜひお気軽に神田明神文化交流館・EDOCCO STUDIOにお越しください！
#akiba #アキバ #秋葉原 #地方創生 #ふるさと映画祭 
https://t.co/KADH2crjSp","[Notice] You can see the pattern of this venue live!
Of course it's best to see it directly at the venue!
Admission is free! Please feel free to visit Kanda Myojin Cultural Exchange Center and EDOCCO STUDIO!
#akiba #akiba #akihabara #regional revitalization #hometown film festival
https://t.co/KADH2crjSp"
30,30,2022-11-24 07:49:31+00:00,WorkationsApp,募集中です！！一緒に働きませんか？ #ワーケーション #インターンシップ #インターン #長期インターン #地方創生,We are hiring! ! Shall we work together? #workation #internship #intern #long-term internship #regional revitalization
31,31,2022-11-23 02:49:41+00:00,8bit_HORIJUN,"ファーストセッション、始まりました！インパクト創出の実践論と題して、大地の芸術祭から原蜜さん、マクアケの坊垣加奈さん、そしてリディラバ安部敏樹さん。ソーシャルインパクト投資から地方創生×アートでの市民参画まで。
#リディフェス https://t.co/lsKNdiJkey","First session has started! Mitsu Hara from Echigo-Tsumari Art Triennale, Kana Bogaki from Makuake, and Toshiki Abe from Ridilover. From social impact investment to civic participation in regional revitalization and art.
#Ridifes https://t.co/lsKNdiJkey"
32,32,2022-11-22 15:05:45+00:00,KihironJames,"JR東日本企画さんとの最強の座組みが本当にありがたい。
地方創生案件を圧倒的なスピード感とスケールで実現してゆく。
これからが楽しみ。","I am truly grateful for the strongest group set with JR East Kikaku.
Realize regional revitalization projects with overwhelming speed and scale.
I'm looking forward to the future."
33,33,2022-11-21 19:23:05+00:00,SV650X_ka,地方創生などと言いながら走行距離に課税しようとするとは愚かよのう。関係各所に補助金はバラまいてる癖に節約せず課税課税だもんなあ。,"It seems foolish to try to tax the mileage while talking about regional revitalization. Subsidies are scattered in various places, but taxation is taxed without saving."
34,34,2022-11-17 10:00:04+00:00,boomar13,"@filien_inc 東京にバーチャルオフィスがあったんだァ

うちは2020年に東京の銀座オフィスを閉じてリアルなオフィスは持たなくなりました

その代わり、全国のコワーキングや地方創生事業で協力や提携しながら、ギルドメンバーがワーケーションできるように整備しています","@filien_inc There was a virtual office in Tokyo

We closed our Ginza office in Tokyo in 2020 and no longer have a real office.

Instead, we are cooperating and partnering with co-working and regional revitalization projects nationwide so that guild members can work."
35,35,2022-11-17 05:12:45+00:00,twakao,"きょうは新・建設業 地方創生研究会の第一回全国会員研修会にサポーターとして参加しています。
なんとお隣は旧知の杉村太蔵さん。旭川ここはれて前夜。2020年1月に音威子府村にご一緒させていただいたときに旭川の夜にご相談いただき晴れて完成。まちづくりに投資概念を入れる画期的取組です。 https://t.co/GjiO1J1CKb","Today, I am participating as a supporter in the first national member workshop of the new construction industry regional revitalization study group.
Surprisingly, the next door is Mr. Taizou Sugimura, an old acquaintance. It's the eve of Asahikawa here. When I was with Otoineppu Village in January 2020, I consulted with Asahikawa at night and completed it. This is an epoch-making approach that incorporates the concept of investment into community development. https://t.co/GjiO1J1CKb"
36,36,2022-11-16 05:35:43+00:00,wagashibuyer,@KSYztuHvGj8Co8i 下手にテレビで取り上げられたりしなければ、それはないでしょうね。僕は名古屋に限らず、最終的に本店に行ってもらいたいので、裾野を広げ、認知してもらうまでが僕の仕事です。お客様に魅力を伝え、地元へ振り戻さなければ、地方創生はありません。,"@KSYztuHvGj8Co8i If it wasn't badly picked up on TV, it wouldn't be. I want people to eventually go to the main store, not just Nagoya, so my job is to expand the base and get them to recognize it. There is no regional revitalization unless we convey the appeal to customers and turn back to the local area."
37,37,2022-11-15 08:08:41+00:00,ito_masato,@kimaki26 ありがとうございます！地方創生における政策的移住促進の正当化論理と課題を分析した論文で、地方自治体の方も読んで損はないかなと思う内容なので、公開になったら共有させていただきます！,@kimaki26 Thank you! It is a thesis that analyzes the justification logic and challenges of policy-based immigration promotion in regional revitalization.
38,38,2022-11-15 01:32:38+00:00,KihironJames,"12/4（日）〜12/5（月）と福岡にいるので福岡の方とお会いしたいですー！
地方創生ビジネスをやっていらっしゃる方、Web＆マーケティング領域の方とお会いできると嬉しいです！
ご紹介頂けるとめっちゃ喜びます🙌
#福岡　#地方創生","I will be in Fukuoka from 12/4 (Sun) to 12/5 (Mon), so I would like to meet people from Fukuoka!
I would be happy to meet people who are doing regional revitalization business and people in the web & marketing field!
I would be very happy if you could introduce me 🙌
#Fukuoka #Regional revitalization"
39,39,2022-11-14 23:30:53+00:00,kitakota_,"【プロモーション】
毎月27,500円（税込)で全国49拠点全てを予約可能な限り、何泊でもできるLivingAnywhereCommons！

12月1日から価格改定なので、お気をつけて〆

興味ある人はDMください。
詳しくはこちら⤵️

https://t.co/LTNoaqUfbc

#地方創生
#地域活性化
#多拠点居住
#ワーケーション","【promotion】
LivingAnywhereCommons allows you to stay as many nights as you like, as long as you can reserve all 49 bases nationwide for 27,500 yen (tax included) every month!

The price will be revised from December 1st, so please be careful.

DM me if you are interested.
Click here for details⤵️

https://t.co/LTNoaqUfbc

#Regional revitalization
#Regional activation
#multi-site residence
#Workation"
40,40,2022-11-14 01:05:49+00:00,WorkationsApp,"「自治体向けワーケーション事業パッケージ」の提供開始と「宿泊施設の成果報酬の無償化」をスタート https://t.co/3Dvlv98FGp @PRTIMES_JPより 
#ワーケーション #Workation #リモートワーク #テレワーク #地方創生","Launch of “workation business package for local governments” and “free performance rewards for accommodation facilities” https://t.co/3Dvlv98FGp From @PRTIMES_JP
#Workation #Workation #Remote work #Telework #Regional revitalization"
41,41,2022-11-13 22:06:33+00:00,kyoujuhs,#Nowplaying 地方創生プログラム　ONE-J 20221016 - 本仮屋リイナ坐間妙子堀口正裕（TURNS）　ゲスト：下川友子（パワースポット案内人） (地方創生プログラム　ONE-J) https://t.co/amo4hIA7AY,#Nowplaying Regional Revitalization Program ONE-J 20221016 - Motokariya Riina Zama Taeko Horiguchi Masahiro (TURNS) Guest: Tomoko Shimokawa (Power Spot Guide) (Regional Revitalization Program ONE-J) https://t.co/amo4hIA7AY
42,42,2022-11-13 14:02:29+00:00,OKADATOMOHIRO,手は動かせないけど、カタカナ多弁な人々が、わらわら湧いてくる、地方創生の30年。,"30 years of regional revitalization, where people who can't move their hands but can speak katakana are springing up."
43,43,2022-11-13 04:22:19+00:00,kochizo,"ウールの説明をする本仮屋ユイカちゃんの熱量が、@ShingoIWATA  真吾さん超えてきそうな勢いで面白い(笑)めちゃくちゃ欲しくなるプレゼンです。

地方創生プログラム　ONE-J | TBSラジオ
https://t.co/UC9fAUAHMb
#radiko #本仮屋ユイカ #斉藤慎二 #onej","Honkariya Yuika-chan's enthusiasm for explaining wool is so interesting that it seems like it's going to surpass @ShingoIWATA Shingo-san's (laughs).

Regional Revitalization Program ONE-J | TBS Radio
https://t.co/UC9fAUAHMb
#radiko #Yuika Honkariya #Shinji Saito #onej"
44,44,2022-11-07 09:13:49+00:00,kyoujuhs,#Nowplaying 地方創生プログラム　ONE-J 20221009 - 斉藤慎二（ジャングルポケット）坐間妙子　ゲスト：おたけ・太田博久（ジャングルポケット）門松良祐（ミュージシャン） (地方創生プログラム　ONE-J) https://t.co/TQeJAUG9d0,#Nowplaying Regional Revitalization Program ONE-J 20221009 - Shinji Saito (Jungle Pocket) Taeko Zama Guest: Otake Hirohisa Ota (Jungle Pocket) Ryosuke Kadomatsu (Musician) (Regional Revitalization Program ONE-J) https://t .co/TQeJAUG9d0
45,45,2022-11-05 11:22:25+00:00,TOPDIAMOND4,"海外遠征、徳島木頭支部オープン……
K1王者・小比類巻貴之が描く格闘技の未来図とは
https://t.co/TfqGtsbJP6…

@kohikick11
＠miraicombini 
@camp_park_kito 
#小比類巻貴之 
#地方創生 
#格闘技 
#GOETHE 
#仕事が楽しければ人生も愉しい","Overseas expedition, Tokushima Kito branch opening...
What is the future of martial arts drawn by K1 champion Takayuki Kohiruimaki?
https://t.co/TfqGtsbJP6…

@kohikick11
@miraicombini
@camp_park_kito
#Takayuki Kohiruimaki
#Regional revitalization
#martial arts
#GOETHE
#If you enjoy your work, you will enjoy your life"
46,46,2022-11-04 06:27:43+00:00,SuzukiTaka,"来週11/11は『#LOOK LOCAL SUMMIT 2022』に登壇します！
地方創生xメタバースでお話しします。
 #SIW2022
https://t.co/8giEfXz3kc
観覧申込はこちら
https://t.co/wkSQwjdOHS 
@siw_shibuya https://t.co/WRGEDUWc3x","Next week, November 11th, we will be on stage at ""#LOOK LOCAL SUMMIT 2022""!
I will talk about regional revitalization x Metaverse.
 #SIW2022
https://t.co/8giEfXz3kc
Click here to apply for viewing
https://t.co/wkSQwjdOHS 
@siw_shibuya https://t.co/WRGEDUWc3x"
47,47,2022-11-04 05:51:20+00:00,BNMd9Ygg6aKXJEO,"新橋駅に戻りサザコーヒー☕️へ
ここの #将軍かふぇらて が大好きなんです😋 #サザコーヒー も水戸ホーリーホックのスポンサーになってくれたらいいなと思いました😌もうなってましたっけ😅
双方にとっていいと思うんですよね😃
#水戸ホーリーホック #水戸ホーリーホックスポンサー #地方創生 https://t.co/T3hmd86UAO","Return to Shimbashi Station and go to Saza Coffee☕️
I love the #Shogun Cafe here😋 I thought it would be nice if #Saza Coffee became a sponsor of Mito Hollyhock😌Is it already done😅
I think it's good for both
# Mito Holly Hook # Mito Holly Hook Sponsor # Regional Revitalization https://t.co/T3hmd86UAO"
48,48,2022-11-02 17:01:16+00:00,kaztaka_n,メタバースとその中で作られるDAOのコミュニティは地方創生とはめちゃくちゃ相性が良い気がするのでこういう動きがより進んでほしい。#DAO  #メタバース　#web3,"I feel that the Metaverse and the DAO community created within it are insanely compatible with regional revitalization, so I hope this kind of movement will progress further. #DAO #Metaverse #web3"
49,49,2022-10-31 22:08:03+00:00,kitakota_,"【プロモーション】
毎月27,500円（税込)で全国48拠点全てを予約可能な限り、何泊でもできるLivingAnywhereCommons！

追加料金でお部屋のアップグレードも〆

興味ある人はDMください。
詳しくはこちら⤵️

https://t.co/LTNoaqUfbc

#地方創生
#地域活性化
#多拠点居住
#ワーケーション","【promotion】
LivingAnywhereCommons allows you to stay as many nights as you like, as long as you can reserve all 48 bases nationwide for 27,500 yen (tax included) every month!

Room upgrade available for an additional fee

DM me if you are interested.
Click here for details⤵️

https://t.co/LTNoaqUfbc

#Regional revitalization
#Regional activation
#multi-site residence
#Workation"
50,50,2022-10-26 15:23:20+00:00,yu_renovation,"【新たな生き方】
『常識』が徐々に崩れ
いまの『普通』が来年は『普通』では無い可能性もあり
社会や自らの内側が変わった今、読んでなにを思うのか
読書も復習が大事です。

#読書好きな人と繋がりたい 
#働き方改革　#wellbeing  #メンタルヘルス　#セルフケア　#寛容性　#地方創生　＃二拠点居住 https://t.co/H0wOjiji3b","[New way of life]
""Common sense"" gradually collapses
""Normal"" now may not be ""normal"" next year
What do you think when you read it now that society and yourself have changed?
Reading and review are important.

#I want to connect with people who like reading
#Work style reform #wellbeing #Mental health #Self-care #Tolerance #Regional revitalization #Two-base residence https://t.co/H0wOjiji3b"
51,51,2022-10-26 06:02:42+00:00,arukikata_book,"昨日は地球の歩き方総合研究所の総会でした🌍地球の歩き方では本の出版だけでなく未来の観光のこと議論したり、地方創生のお手伝いをしています🙌

https://t.co/PJRz1PGJQM https://t.co/yv7CFaQTow","Yesterday was the general meeting of Chikyu no Arukikata Research Institute🌍Chikyu no Arukikata not only publishes books, but also discusses future tourism and helps with regional revitalization🙌

https://t.co/PJRz1PGJQM https://t.co/yv7CFaQTow"
52,52,2022-10-25 09:00:03+00:00,RSJnakashima,"「パ・リーグ スポーツ転職フェア2022」今年も参加させていただきます！昨年も同イベントから実際に採用もさせていただきました。

また「スポーツによる地方創生とまちづくり」というトークセッションにも参加させていただきます。ぜひ多くの方にご覧いただけたらと思います。 https://t.co/xIG0mqc8A1","We will be participating in the Pacific League Sports Career Change Fair 2022 again this year! Last year, we actually hired them from the same event.

I will also participate in a talk session titled ""Regional Revitalization and Community Development through Sports."" I hope many people will be able to see it. https://t.co/xIG0mqc8A1"
53,53,2022-10-24 14:09:47+00:00,marlx0,"目次
1.現状
2.課題
3日本の経済循環
4観光
5新規事業としての個人事業
6地方創生の唯一の入り口","table of contents
1. Current situation
2. Task
3 Japan's economic cycle
4 sightseeing
5 Personal business as a new business
6The only gateway to regional revitalization"
54,54,2022-10-24 10:09:52+00:00,shuji0510,"地方創生について、岡本さんと作戦会議させて頂いております。

#松茸 #吉次蟹蔵 #mugen #地方創生 場所: 吉次蟹蔵 https://t.co/XmtYq1ysbZ","I am having a strategy meeting with Mr. Okamoto regarding regional revitalization.

#Matsutake #Kichiji Kanzo #mugen #Regional Revitalization Location: Yoshitsugu Kanzo https://t.co/XmtYq1ysbZ"
55,55,2022-10-24 09:08:55+00:00,NPO_VR,当法人は「地方創生SDGs官民連携プラットフォーム」にてメタバース分科会長を努めており、デジタル空間における文化活動を起点とした事例創出を促進しています。,We are working as the chairman of the Metaverse Subcommittee on the “Local Revitalization SDGs Public-Private Partnership Platform” and promoting the creation of examples based on cultural activities in the digital space.
56,56,2022-10-24 09:06:29+00:00,SUKANEKI_VRC,"⚡メタバース総合展に登壇🔊
「メタバースと地方創生」をテーマに原住民の立場から議論をさせていただく予定です！原住民の文化活動と地方創生は相性が良いというのが私の持論です。
日時：10.26 12:00-12:45
場所：幕張メッセ https://t.co/s0LmCHZrOT","⚡Appearance at the Metaverse Comprehensive Exhibition🔊
We are planning to have a discussion on the theme of ""metaverse and regional revitalization"" from the standpoint of the natives! My theory is that the cultural activities of indigenous people and regional revitalization are compatible.
Date: 10.26 12:00-12:45
Location: Makuhari Messe https://t.co/s0LmCHZrOT"
57,57,2022-10-20 06:16:27+00:00,craftbeer_tako,"クラフトビールて地方創生に適したプロダクトなん？そもそも。価格も上がるし酒って時点でかなりターゲット狭まるから向いてないと思うんが。私の一番の懸念は質の悪いビールが出回る事だけどね（大声）

https://t.co/pf643IeNnR","Is craft beer a suitable product for regional revitalization? in the first place. I don't think it's suitable because the price will go up and the target will be narrowed considerably at the point of alcohol. My biggest concern is the bad quality beer out there (louder)

https://t.co/pf643IeNnR"
58,58,2022-10-19 14:23:04+00:00,ikiben,"#打ち手会議

 地方創生についてぶちかまして来たぜよ。全容はみんなのグラさんで！ https://t.co/IFXh9amFu9","#conference

 I came here to talk about regional revitalization. The whole story is everyone's gura! https://t.co/IFXh9amFu9"
59,59,2022-10-19 13:48:45+00:00,ikiben,"#打ち手会議

国会議員さんや、副知事も参加してる中、地方創生こそ、エンジニア育成を吠えてきたぜよ！

#打ち手会議 https://t.co/LGVclnpmYt","#conference

While members of parliament and deputy governors are also participating, regional revitalization has been calling for engineer training!

# Meeting https://t.co/LGVclnpmYt"
60,60,2022-10-18 14:40:27+00:00,cameraonozato,@milky_quill なんか、地方創生とかのワードで引っかかって、広告出たんじゃないかなぁ～？,"@milky_quill Somehow, I wonder if the ad came out because of the word ""regional revitalization""."
61,61,2022-10-18 00:53:09+00:00,Masataka_Taira,"#秋田ノーザンハピネッツ はクラブとして多角経営で売上を伸ばしていく選択をしているのが、すごくリアリティがあって素晴らしいなぁと。

パン屋の経営もだし、こうやって第三セクターを運営するのも理にかなっている。

地方創生とクラブ経営の親和性はすごくあると思う。

水野さん、さすがだなぁ✨","#AkitaNorthernHappinets has chosen to increase sales through diversified management as a club, which is very realistic and wonderful.

It also makes sense to run a third sector like this.

I think there is a great affinity between regional revitalization and club management.

Mizuno-san, you are amazing✨"
